               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.022419,           0.0073297,                   0,             0.71219,             0.63636,             0.69036,             0.38147,            0.017041,           0.0045911,                   0,             0.00613,             0.00613,             0.00613
                  88,            0.020899,            0.007994,                   0,             0.59621,             0.63636,             0.61086,             0.31389,             0.01923,           0.0044429,                   0,            0.006085,            0.006085,            0.006085
                  89,            0.019692,           0.0069999,                   0,             0.62713,             0.54545,             0.57216,             0.32707,            0.016588,           0.0045549,                   0,             0.00604,             0.00604,             0.00604
                  90,            0.019942,           0.0069439,                   0,             0.62039,              0.5206,             0.60699,             0.30295,            0.021404,           0.0044187,                   0,            0.005995,            0.005995,            0.005995
                  91,             0.01837,           0.0046035,                   0,              0.5681,             0.54545,             0.62624,               0.369,            0.018135,           0.0046808,                   0,             0.00595,             0.00595,             0.00595
                  92,            0.021777,           0.0061742,                   0,             0.84257,             0.40909,             0.64187,             0.34367,            0.023096,           0.0041778,                   0,            0.005905,            0.005905,            0.005905
                  93,            0.021973,           0.0079841,                   0,             0.51139,             0.59091,             0.57569,             0.31455,            0.022043,           0.0041643,                   0,             0.00586,             0.00586,             0.00586
                  94,            0.025138,           0.0091857,                   0,             0.68504,             0.54545,             0.63358,             0.27927,             0.02458,           0.0040761,                   0,            0.005815,            0.005815,            0.005815
                  95,            0.023659,            0.007171,                   0,             0.51741,             0.63365,             0.58003,             0.29487,            0.018978,            0.004462,                   0,             0.00577,             0.00577,             0.00577
                  96,            0.022062,           0.0095253,                   0,             0.52982,             0.59091,             0.54905,             0.28999,            0.017211,           0.0046345,                   0,            0.005725,            0.005725,            0.005725
                  97,            0.019254,           0.0069828,                   0,             0.55759,             0.59091,             0.62071,             0.30429,            0.018674,           0.0045444,                   0,             0.00568,             0.00568,             0.00568
                  98,             0.01534,           0.0063685,                   0,             0.54416,             0.68182,             0.68537,             0.37119,            0.017309,           0.0045861,                   0,            0.005635,            0.005635,            0.005635
                  99,            0.018942,           0.0063047,                   0,             0.82563,             0.54545,             0.71161,             0.38241,            0.017324,           0.0044791,                   0,             0.00559,             0.00559,             0.00559
                 100,            0.018645,           0.0071626,                   0,             0.79352,             0.69927,             0.78364,              0.4533,            0.018571,           0.0042715,                   0,            0.005545,            0.005545,            0.005545
                 101,            0.017663,            0.006589,                   0,              0.8482,             0.76234,             0.78084,              0.4813,            0.018503,           0.0041938,                   0,              0.0055,              0.0055,              0.0055
                 102,            0.021424,           0.0094677,                   0,             0.88192,             0.67915,             0.76851,             0.45081,            0.017475,           0.0041866,                   0,            0.005455,            0.005455,            0.005455
                 103,            0.022057,           0.0053727,                   0,             0.88193,             0.67917,             0.76353,             0.43767,            0.019206,            0.004158,                   0,             0.00541,             0.00541,             0.00541
                 104,            0.018963,           0.0060111,                   0,             0.81586,             0.60477,              0.6763,             0.35763,            0.019447,           0.0043758,                   0,            0.005365,            0.005365,            0.005365
                 105,            0.018654,           0.0067477,                   0,             0.64286,             0.68182,             0.63148,             0.34491,            0.019013,           0.0045544,                   0,             0.00532,             0.00532,             0.00532
                 106,            0.015826,           0.0052338,                   0,              0.7782,             0.54545,             0.60619,             0.32195,            0.017216,           0.0045291,                   0,            0.005275,            0.005275,            0.005275
                 107,            0.018213,            0.005295,                   0,             0.79111,             0.54545,             0.62506,             0.32933,            0.016979,           0.0045272,                   0,             0.00523,             0.00523,             0.00523
                 108,             0.01888,           0.0069019,                   0,             0.59554,             0.73648,             0.57443,             0.30017,            0.019844,           0.0043797,                   0,            0.005185,            0.005185,            0.005185
                 109,            0.019166,           0.0072685,                   0,              0.6228,             0.77273,             0.66292,              0.3567,            0.017225,           0.0043549,                   0,             0.00514,             0.00514,             0.00514
                 110,            0.019706,           0.0080425,                   0,             0.71222,             0.72727,             0.72976,             0.36704,            0.019462,           0.0043269,                   0,            0.005095,            0.005095,            0.005095
                 111,            0.017915,            0.006075,                   0,              0.8212,             0.62674,             0.73128,             0.39307,            0.018274,           0.0043865,                   0,             0.00505,             0.00505,             0.00505
                 112,            0.022221,           0.0080218,                   0,             0.77006,             0.63636,             0.72425,             0.39624,            0.018552,           0.0042968,                   0,            0.005005,            0.005005,            0.005005
                 113,            0.016297,           0.0055355,                   0,             0.72402,             0.59649,             0.71409,              0.3984,            0.017154,           0.0042658,                   0,             0.00496,             0.00496,             0.00496
                 114,            0.015055,           0.0035879,                   0,             0.59003,             0.71985,              0.6421,             0.38745,             0.01624,           0.0043994,                   0,            0.004915,            0.004915,            0.004915
                 115,            0.017155,           0.0071125,                   0,             0.58951,             0.68182,             0.64828,             0.37132,             0.01724,           0.0044128,                   0,             0.00487,             0.00487,             0.00487
                 116,            0.017113,           0.0040779,                   0,             0.66923,             0.59091,             0.62523,             0.39675,            0.014849,            0.004695,                   0,            0.004825,            0.004825,            0.004825
                 117,            0.016601,            0.004499,                   0,             0.67881,             0.59091,              0.6362,              0.4092,            0.015862,           0.0046363,                   0,             0.00478,             0.00478,             0.00478
                 118,            0.017088,           0.0070982,                   0,             0.75462,             0.59091,             0.68802,             0.44516,            0.015316,           0.0044663,                   0,            0.004735,            0.004735,            0.004735
                 119,            0.018034,           0.0079809,                   0,             0.73238,             0.62248,              0.7094,             0.41964,            0.016895,           0.0043215,                   0,             0.00469,             0.00469,             0.00469
                 120,            0.016015,           0.0077357,                   0,             0.73894,             0.63636,             0.72288,             0.44963,            0.016713,            0.004296,                   0,            0.004645,            0.004645,            0.004645
                 121,            0.017756,           0.0063617,                   0,             0.76847,             0.63636,             0.71721,             0.45846,            0.016664,           0.0042847,                   0,              0.0046,              0.0046,              0.0046
                 122,            0.014771,           0.0061161,                   0,             0.60251,             0.68182,              0.6531,             0.40178,            0.017244,            0.004375,                   0,            0.004555,            0.004555,            0.004555
                 123,            0.016106,           0.0050439,                   0,             0.59436,             0.72727,             0.65992,             0.40282,            0.017582,           0.0043839,                   0,             0.00451,             0.00451,             0.00451
                 124,            0.017287,           0.0076511,                   0,             0.59845,             0.72727,             0.64022,             0.40241,            0.018876,           0.0043633,                   0,            0.004465,            0.004465,            0.004465
                 125,            0.015108,           0.0046091,                   0,             0.67494,             0.66118,             0.66073,             0.42541,            0.018027,           0.0044194,                   0,             0.00442,             0.00442,             0.00442
                 126,            0.021146,            0.007768,                   0,              0.6817,             0.68147,             0.64519,             0.41693,            0.017013,             0.00443,                   0,            0.004375,            0.004375,            0.004375
                 127,            0.017774,           0.0092307,                   0,             0.64323,             0.68182,             0.64578,             0.42232,            0.016866,           0.0043503,                   0,             0.00433,             0.00433,             0.00433
                 128,             0.01448,           0.0077992,                   0,             0.61521,             0.68182,             0.62779,             0.40547,            0.017337,           0.0043026,                   0,            0.004285,            0.004285,            0.004285
                 129,            0.015597,            0.006786,                   0,             0.58652,             0.64504,             0.64374,             0.43278,            0.016269,           0.0042811,                   0,             0.00424,             0.00424,             0.00424
                 130,            0.019509,           0.0098352,                   0,             0.72155,             0.72727,             0.71756,             0.47199,            0.016829,           0.0041161,                   0,            0.004195,            0.004195,            0.004195
                 131,            0.015039,            0.004825,                   0,             0.68295,             0.68553,             0.73416,             0.48822,            0.016494,           0.0040398,                   0,             0.00415,             0.00415,             0.00415
                 132,            0.015178,           0.0045277,                   0,             0.87326,             0.62689,             0.74516,             0.50602,            0.016461,            0.004012,                   0,            0.004105,            0.004105,            0.004105
                 133,            0.013821,           0.0050002,                   0,             0.87423,             0.63216,             0.73536,             0.52515,             0.01574,           0.0040776,                   0,             0.00406,             0.00406,             0.00406
                 134,            0.014372,           0.0053676,                   0,              0.8523,             0.63636,             0.73862,             0.52637,            0.015304,            0.004086,                   0,            0.004015,            0.004015,            0.004015
                 135,            0.016135,           0.0046297,                   0,             0.93244,             0.62781,             0.74524,             0.50685,            0.016526,           0.0041123,                   0,             0.00397,             0.00397,             0.00397
                 136,            0.014519,           0.0057536,                   0,             0.83176,             0.67455,              0.7412,             0.48159,            0.016525,           0.0041347,                   0,            0.003925,            0.003925,            0.003925
                 137,            0.017423,            0.010717,                   0,             0.77244,             0.68182,             0.72982,             0.51281,            0.015731,           0.0041088,                   0,             0.00388,             0.00388,             0.00388
                 138,            0.013534,            0.005753,                   0,             0.76979,             0.59091,             0.69743,             0.45205,            0.016096,           0.0042303,                   0,            0.003835,            0.003835,            0.003835
                 139,             0.01472,           0.0054593,                   0,             0.78805,             0.59091,             0.69832,             0.46783,            0.015068,           0.0042806,                   0,             0.00379,             0.00379,             0.00379
